model,nse,kge,pde,timing,rmse,mae,smape,bias
wrf,0.5584,0.4992,-36.8946,-2.1875,23.3015,18.0699,80.1294,-18.0123
wrf12,0.5780,0.5089,-36.0134,-2.1875,22.7257,17.6151,78.6461,-17.5712
wrf12before,0.5394,0.4850,-37.6504,-2.1875,23.8451,18.5563,82.3645,-18.5563
graphcast,0.5955,0.5420,-38.3300,-2.1875,22.4200,17.6365,69.9909,-17.6365
fuxi,-1.1360,-0.4529,-93.4743,-17.1875,53.8814,39.3257,148.4638,-39.3257
aifs,0.5319,0.5569,-44.9507,-2.1875,24.0358,17.9595,66.8583,-17.9595
efasecmwf,0.4753,0.7216,29.3350,-5.1875,26.0257,16.3496,40.9475,5.9185
efasdwd,0.5336,0.7211,1.3327,-6.6875,24.2012,18.1989,46.4573,-0.8459
