Forcing,EventTotal_mm,Peak6h_mm,PeakTime_h,Crit24_48h_mm,Crit24_48h_pct,Burst36_48h_mm,Burst36_48h_pct,DiffVsWRF_pct
WRF_1p3km,67.3,29.2,24.0,66.6,98.9,53.6,80.0,0.0
WRF_12km,67.6,29.3,24.0,66.9,98.8,53.6,79.0,0.4
WRF_12km_BeforeDA,65.4,31.7,24.0,64.9,99.3,55.4,85.0,-2.8
GraphCast,64.1,29.3,30.0,58.0,90.5,48.7,76.0,-4.8
FuXi,16.3,2.7,30.0,6.9,42.2,3.5,21.0,-75.8
AIFS,63.3,24.4,24.0,55.6,88.0,45.4,72.0,-5.9
