idx,hours_end,interval_start,datetime,WRF_1p3km,WRF_12km,WRF_12km_BeforeDA,GraphCast,FuXi,AIFS
0,6.0,2021-07-13 18:00:00,2021-07-14 00:00:00,0.028489334508776665,0.028727322816848755,0.0004963769461028278,0.389978289604187,1.7397048473358154,0.6141749024391174
1,12.0,2021-07-14 00:00:00,2021-07-14 06:00:00,0.8330274820327759,1.1104925870895386,0.5434602499008179,0.8417536616325378,2.274827241897583,3.6157281398773193
2,18.0,2021-07-14 06:00:00,2021-07-14 12:00:00,12.193113327026367,12.137572288513184,8.954028129577637,8.457817077636719,1.1204495429992676,6.6232757568359375
3,24.0,2021-07-14 12:00:00,2021-07-14 18:00:00,29.246801376342773,29.313928604125977,31.69784927368164,19.36800193786621,0.7926378846168518,24.3981876373291
4,30.0,2021-07-14 18:00:00,2021-07-15 00:00:00,24.361772537231445,24.300872802734375,23.730257034301758,29.3485164642334,2.6743898391723633,21.00242805480957
5,36.0,2021-07-15 00:00:00,2021-07-15 06:00:00,0.2360706925392151,0.2467658519744873,0.19198717176914215,2.1326262950897217,1.2498548030853271,2.608975887298584
6,42.0,2021-07-15 06:00:00,2021-07-15 12:00:00,0.3556595742702484,0.3765469491481781,0.10491732507944107,2.0305635929107666,2.287947654724121,2.466641902923584
7,48.0,2021-07-15 12:00:00,2021-07-15 18:00:00,0.06491359323263168,0.09796683490276337,0.1263948231935501,0.5489185452461243,0.6850135922431946,1.0513895750045776
8,54.0,2021-07-15 18:00:00,2021-07-16 00:00:00,0.02238900028169155,0.022149857133626938,0.011957237496972084,0.23067334294319153,0.3642740547657013,0.17958258092403412
9,60.0,2021-07-16 00:00:00,2021-07-16 06:00:00,0.005318152252584696,0.005361472722142935,0.013552057556807995,0.12179698050022125,0.36558273434638977,0.05062365159392357
10,66.0,2021-07-16 06:00:00,2021-07-16 12:00:00,0.00021577018196694553,0.0003092919068876654,0.0006273331819102168,0.34557604789733887,0.7027812600135803,0.4089418351650238
11,72.0,2021-07-16 12:00:00,2021-07-16 18:00:00,2.171132291550748e-05,4.689865454565734e-05,0.0,0.09299220889806747,1.5170633792877197,0.20177970826625824
12,78.0,2021-07-16 18:00:00,2021-07-17 00:00:00,0.0,0.0,0.0,0.011321770958602428,0.0,0.0
13,84.0,2021-07-17 00:00:00,2021-07-17 06:00:00,0.0,2.471694848793504e-09,4.926930046167399e-07,0.04966120794415474,0.16389210522174835,0.0
14,90.0,2021-07-17 06:00:00,2021-07-17 12:00:00,0.0,0.0,0.0,0.11569847166538239,0.11261916160583496,0.020892392843961716
15,96.0,2021-07-17 12:00:00,2021-07-17 18:00:00,0.0007155503262765706,0.0006242823437787592,0.0,0.019892560318112373,0.22406072914600372,0.013050327077507973
16,102.0,2021-07-17 18:00:00,2021-07-18 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
